rcn	reference	acronym	status	programme	topics	startDate	endDate	totalCost	ecMaxContribution	call	fundingScheme	coordinator	coordinatorCountry	numOrg	totalContrib
193157	632927	ERC-EuropePMC-1-2014	SIGNED	H2020-EU.1.1.	ERC	2014-01-01	2016-03-31	230000,00	230000,00	H2020-Adhoc-2014-20	CSA	THE WELLCOME TRUST LIMITED	UK	 1	230000,00
193158	633002	ERCSC-VPRES-SUP2014	SIGNED	H2020-EU.1.1.	ERC	2014-01-01	2014-12-31	258500,00	258500,00	H2020-Adhoc-2014-20	CSA	LUDWIG INSTITUT FUR KREBSFORSCHUNG AG	CH	 1	258500,00
193159	633053	EUROfusion	SIGNED	H2020-Euratom	EURATOM	2014-01-01	2018-12-31	856961937,57	424800000,00	EURATOM-Adhoc-2014-20	COFUND-EJP	MAX PLANCK GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V.	DE	 30	427387183,21
193160	633080	MACC-III	SIGNED	H2020-EU.2.1.6.	SPACE	2014-08-01	2015-08-31	5000000,00	5000000,00	H2020-Adhoc-2014-20	CSA	EUROPEAN CENTRE FOR MEDIUM-RANGE WEATHER FORECASTS	UK	 36	5000000,00
193161	633085	MyOcean FO	SIGNED	H2020-EU.2.1.6.;H2020-EC	SPACE	2014-10-01	2015-06-01	6000000,04	6000000,00	H2020-Adhoc-2014-20	CSA	MERCATOR OCEAN	FR	 57	6000000,00
193162	633098	UTOFIA	SIGNED	H2020-EU.3.2.	BG-09-2014	2015-02-01	2018-04-30	5716971,00	5716971,00	H2020-BG-2014-2	RIA	STIFTELSEN SINTEF	NO	 7	5716971,00
193163	633125	EUCYS 2014	SIGNED	H2020-EU.5.	SCIENCE WAF SOCIETY	2014-03-01	2015-02-28	1467500,00	800000,00	H2020-Adhoc-2014-20	CSA	UNIWERSYTET WARSZAWSKI	PL	 1	800000,00
193164	633127	UPWARDS	SIGNED	H2020-EU.2.1.6.1.	COMPET-08-2014	2015-03-01	2018-02-28	2103593,75	2103593,75	H2020-COMPET-2014	RIA	AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS	ES	 7	2103593,75
193177	633155	Light Night	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2015-04-01	2015-10-31	84410,00	84407,00	H2020-MSCA-NIGHT-2014	CSA	ASTON UNIVERSITY	UK	 3	84407,00
193178	633152	GEOFLUIDS	SIGNED	H2020-EU.1.1.	ERC-StG-2014	2015-03-01	2020-02-29	1256375,00	1256375,00	ERC-2014-STG	ERC-STG	AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS	ES	 1	1256375,00
193179	633161	MadridERN2014-2015	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	187925,00	175000,00	H2020-MSCA-NIGHT-2014	CSA	FUNDACION PARA EL CONOCIMIENTO MADRIMASD	ES	 1	175000,00
193180	633168	BIOCYCLE	SIGNED	H2020-EU.3.1.	PHC-13-2014	2015-04-01	2021-03-31	5975589,00	5975589,00	H2020-PHC-2014-two-stage	RIA	CENTRE HOSPITALIER UNIVERSITAIRE DE LIEGE	BE	 13	5975589,00
193181	633172	EuroMix	SIGNED	H2020-EU.3.2.	SFS-12-2014	2015-05-15	2019-05-14	8821295,56	7999097,00	H2020-SFS-2014-2	RIA	RIJKSINSTITUUT VOOR VOLKSGEZONDHEIDEN MILIEU*NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	NL	 22	7999097,00
193182	633175	K-TRIO 2	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	248645,00	201000,00	H2020-MSCA-NIGHT-2014	CSA	NEW BULGARIAN UNIVERSITY	BG	 8	201000,00
193183	633184	SAPHIR	SIGNED	H2020-EU.3.2.	SFS-01b-2014	2015-03-01	2019-02-28	10519483,75	8999996,25	H2020-SFS-2014-2	RIA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE	FR	 22	8999996,25
