new_org_id	name	shortName	name_normal	country	numProj	nproj_with_contrib	totContribution
0002ed6e6953fbf120f6ac982c803700	APPLIED MATERIALS FRANCE	Applied Materials France Sarl	FR-applied-materials-france	FR	 1	 1	262132,65
000fe6f38dd7bdc390d3cdabfc34cc14	METCENAS OPS	METCENAS OPS - METHODOLOGY CENTRE FOR ENVIRONMENT ASSESSMENT	CZ-metcenas-ops	CZ	 1	 1	79250,00
0024f8241bf9bbec931cf3047feed2ed	WEBLOGS SL	WEBLOGS	ES-weblogs	ES	 1	 1	57050,00
00293aace12c687f692af1bd7f7d972d	EUROMEDITERRANEAN IRRIGATORS COMMUNITY	EIC	ES-euromediterranean-irrigators-community	ES	 1	 1	498215,50
0046df23e09c759216a22ef5fcbff614	RUHR-UNIVERSITAT BOCHUM	RUB	DE-ruhr-universitat-bochum	DE	 1	 1	1907073,00
0050205a9aee375cce584d272c56a323	VALOR DESARROLLO E INNOVACION SL	VDI	ES-valor-desarrollo-e-innovacion	ES	 1	 1	131000,00
005935e56ff8bf8701f5eadb3e11a73a	OPIFICIO DELLE PIETRE DURE	OPIFICIO	IT-opificio-delle-pietre-dure	IT	 2	 2	351875,00
00712f2261a43239ed5e914a7e88c56a	Dobra Conseyeros de Desendolcu Internacional de Negocios	Dobra	ES-dobra-conseyeros-de-desendolcu-internacional-de-negocios	ES	 1		
00943bc63e8743785a3d8b33b586de6e	CERAMTEC GMBH	CET	DE-ceramtec	DE	 1	 1	1076250,00
0096e325c2e20b47ce4bb6f029ebae1a	KERAFRIT SA	KERAFRIT,S.A.	ES-kerafrit-sa	ES	 1	 1	223800,00
009a2f991ca943a281a57b14c85f87c8	PYHASALMI MINE OY	PYHASALMI	FI-pyhasalmi-mine-oy	FI	 1	 1	52360,88
00afb682419d7bac9c263823d90c6030	EPYXS GMBH	Epyxs GmbH	DE-epyxs	DE	 1		
00afdee75e6f83d52c3986ebdaac316b	KNOWLEDGE DEVELOPMENT FOR POF SL	KDPOF	ES-knowledge-development-for-pof	ES	 1	 1	1342411,70
00b5df1ef5c31bd7773cb4bc4086e0c7	ORBITAL EYE BV	Orbital Eye	NL-orbital-eye	NL	 1		
00b7f858502b207b0f97f3258a907400	ASSOCIAZIONE ITALIANA PER LA RICERCA INDUSTRIALE - AIRI	ASSOCIAZIONE ITALIANA PER LA RICERCA INDUSTRIALE - AIRI	IT-associazione-italiana-per-la-ricerca-industriale-airi	IT	 1	 1	140000,00
00c51dac468c5c01cfc8b79d03daf8eb	European University Cyprus	EUC	CY-european-university-cyprus	CY	 1	 1	61196,00
00f8dcb9801849b075bb45151929ec9c	UNABHAENGIGES LANDESZENTRUM FUER DATENSCHUTZ	ULD	DE-unabhaengiges-landeszentrum-fuer-datenschutz	DE	 1	 1	249216,48
0100302394c941f8b2ba44321ead9d06	FERROATLANTICA I & D SL	FAID	ES-ferroatlantica-i-d	ES	 1	 1	515375,00
0102884391a1ce5897e7389735b83faa	TORUNSKA AGENCJA ROZWOJU REGIONALNEGO SPOLKA AKCYJNA	TORUNSKA AGENCJA ROZWOJU REGIONALNE GO SPOLKA AKCYJNA	PL-torunska-agencja-rozwoju-regionalnego-spolka-akcyjna	PL	 1	 1	22400,00
013e8f6bf684833e6c7ba2b5900c9f0d	UNIVERSIDAD DE LA RIOJA	UNIRIOJA	ES-universidad-de-la-rioja	ES	 1	 1	247872,96
01484d8ca131ad38a1e0b0d371d47941	ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE	ASTI	PH-advanced-science-and-technology-institute	PH	 1		
015cefb4653060c6fd851ea733fd81eb	E-ZAVOD, ZAVOD ZA PROJEKTNO SVETOVANJE, RAZISKOVANJE IN RAZVOJ CELOVITIH RESITEV	E-ZAVOD	SI-e-zavod-zavod-za-projektno-svetovanje-raziskovanje-in-razvoj-celovitih-resitev	SI	 1	 1	302875,00
017adf1490d14c0983aee5c5dcc8f53a	ECO WORLD STYRIA UMWELTTECHNIK CLUSTER GMBH	ECO	AT-eco-world-styria-umwelttechnik-cluster	AT	 1	 1	110000,00
01874108b528d235acc5202c555d8aaf	MCS DATALABS	MCS	DE-mcs-datalabs	DE	 1	 1	478110,00
0190f9e01af65efab1bbeea9b827a309	S.T.F. SALVATORE TRIFONE E FIGLI SPA	STF	IT-s-t-f-salvatore-trifone-e-figli	IT	 1	 1	3700593,75
01a8c51e535e7311ad1acaa6c64cc255	ABSISKEY CP	AK	FR-absiskey-cp	FR	 1	 1	138750,00
01c254f13a7f54dfe3f66aaf69f20583	KALRAY SA	KALRAY SA	FR-kalray-sa	FR	 1	 1	125000,00
01c2ca6c8a0f2354b069af8e8d55e4c8	LUXBRIGHT AB	LuxBright AB	SE-luxbright-ab	SE	 1	 1	50000,00
01e7b1e6a4f8ebbde13c415cf374be49	L'UNION EUROPEENNE DES ASSOCIATIONSDE JOURNALISTES SCIENTIFIQUES ASSOCIATION	EUSJA	FR-l-union-europeenne-des-associationsde-journalistes-scientifiques-association	FR	 2	 2	145906,25
01e8216749cb4c53a36b124488fdf464	BOLLINGER + GROHMANN CONSULTING GMBH	B+G	DE-bollinger-grohmann-consulting	DE	 1	 1	459453,75
01f2973e6e137f65d192b635f6a98c67	INSTITUT FUER VERBUNDWERKSTOFFE GMBH	IVW	DE-institut-fuer-verbundwerkstoffe	DE	 2	 2	1313125,00
01f669a239847efe602a98b9506a21a5	SP FIRE RESEARCH AS	SP FR AS	NO-sp-fire-research	NO	 1	 1	386305,00
0201be2623a83d088262c03b37df8529	HEALTH INTELLIGENCE LTD	Health Intelligence Ltd	UK-health-intelligence	UK	 1	 1	50000,00
024bd4ba21958e37dea25cb9b7f73745	AQUATEC PROYECTOS PARA EL SECTOR DEL AGUA SA	AQUA	ES-aquatec-proyectos-para-el-sector-del-agua-sa	ES	 1	 1	766258,75
024f9b8eed9d6181bdfa31bb83c21517	HANDWERKSKAMMER DRESDEN	HWK-D	DE-handwerkskammer-dresden	DE	 1		
0262a651d4b981a17771c7a5b2a06afb	EUROGAN SL	EUROGAN, S.L.	ES-eurogan	ES	 1	 1	1890110,25
027477b1f0d9df288034a0d6992edd7b	ISZGRO DIODES BV	Iszgro Diodes B.V.	NL-iszgro-diodes	NL	 1	 1	226575,70
027b793abe90aa2daaafeff5c18420de	SIR ALISTER HARDY FOUNDATION FOR OCEAN SCIENCE	SAHFOS	UK-sir-alister-hardy-foundation-for-ocean-science	UK	 1	 1	540515,00
02aca6f504f5fd042596387c7341c83d	I-HUB LIMITED	I-HUB LIMITED	KE-i-hub	KE	 1	 1	613750,00
02b59ed3fd5defe63e1587ec1a1b2d0f	INSTITUT SYMLOG	SYMLOG	FR-institut-symlog	FR	 2	 2	165100,00
02e1161fabb768d64e76ee70bf6eb71e	GOLDHAMER MARIANA	4GC	IL-goldhamer-mariana	IL	 1	 1	256999,99
02f48149b8e729c07d4d15178817e5b0	CINSIDE AB	CINSIDE	SE-cinside-ab	SE	 1	 1	50000,00
03020b56d2022b927368f88f63c138f7	AVRO TECH	LeFabShop	FR-avro-tech	FR	 1	 1	483592,37
031802ed4ca5ddac91a4cb06df00ed87	AZIENDA SPECIALE IMPRESE E TERRITORIO - I.TER	Azienda Speciale Imprese e Territorio	IT-azienda-speciale-imprese-e-territorio-i-ter	IT	 1		
03881b0d3765b597c817925153b59ea5	PLASMA SYSTEM SPOLKA AKCYJNA	Plasma System SA	PL-plasma-system-spolka-akcyjna	PL	 1	 1	50000,00
03a404eecdba87b1555bc318ac513415	ATRISC	ATRISC	FR-atrisc	FR	 1	 1	218438,75
03b38b2304a573c3afd6a17382882120	HIGH TECH COATINGS GMBH	HTC	AT-high-tech-coatings	AT	 1	 1	274016,00
03c77e396d425e4b56e586b2fd36e6db	NUCLEOCON SRO	NucleoCon	SK-nucleocon-sro	SK	 1	 1	178125,00
03e69b9e9e885fda085a815364c0e90b	COLLAGE ARKITEKTER AB	COLLAGE	SE-collage-arkitekter-ab	SE	 1	 1	130375,00
03e8282650ba4899ecf2808aab73e173	NALIA SYSTEMS LIMITED	NALIA Systems	UK-nalia-systems	UK	 1	 1	50000,00
03eb9d1b78e6b67198ab0d249ae618b3	FRIPP DESIGN LIMITED	Fripp Design and Research	UK-fripp-design	UK	 1	 1	50000,00
03eed8a9edd18d9ecf5639e20ce1c7e3	BIOATLAS OU	BioatlasO�	EE-bioatlas-ou	EE	 1	 1	951299,97
040b4efb7a253a602a7184fc51522978	FORD MOTOR COMPANY LIMITED	FORD	UK-ford-motor-company	UK	 1	 1	265800,50
04319b4259dd89c6809029e64f12f019	Vlaams Agentschap voor Internationaal Ondernemen	Flanders Investment & Trade	BE-vlaams-agentschap-voor-internationaal-ondernemen	BE	 1	 1	79695,00
045d8b49115df2b79a596c62ed9edfe8	AHAVA DEAD SEA LABORATORIES LTD	DSL	IL-ahava-dead-sea-laboratories	IL	 1	 1	371522,50
048fce3490c79c12908f64fdf53161ab	UNIVERSITE PARIS DAUPHINE	DAUPHINE	FR-universite-paris-dauphine	FR	 1	 1	173076,00
049bd241bba752020b7b66a65018fde6	TAMIRNA GMBH	TAMIRNA	AT-tamirna	AT	 1	 1	50000,00
04ac4b26dd48592a34c87c76c2273862	ESTABANELL Y PAHISA ENERGIA SA	EYPESA	ES-estabanell-y-pahisa-energia-sa	ES	 1	 1	253057,50
04b0409153fb2f7cb1961bb10e762b2f	ASSOCIATION CETI (CENTRE EUROPEEN DES TEXTILES INNOVANTS)	ASSOCIATION CETI	FR-association-ceti-centre-europeen-des-textiles-innovants	FR	 1	 1	334937,00
04b384f5b6c71d134aad24b4628f4d7c	THEMARKETSTRUST-ADVISORY	ThemarketsTrust-Advisory	LU-themarketstrust-advisory	LU	 1	 1	50000,00
05022bd97463247b31dcf2657fd27d54	ASM BELGIUM NV	ASMB	BE-asm-belgium	BE	 1	 1	446245,15
05262cab0d63840745833d4b2bec68a4	ITESTIT SL	ITESTIT S.L	ES-itestit	ES	 1	 1	50000,00
054b0d4667e17e831028fc23c4013b41	SOKTAS DOKUMA ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI	Soktas Dokuma	TR-soktas-dokuma-isletmeleri-sanayi-ve-ticaret-anonim-sirketi	TR	 1	 1	25275,25
055980cf822163c8f1709fc411a54768	MAXITEX GMBH	MAXITEX	DE-maxitex	DE	 1	 1	50000,00
055a534b6d327869e0a78f38a6d30d4b	ORION INTEGRATED BIOSCIENCES INC.	OIB	US-orion-integrated-biosciences	US	 1	 1	135000,00
057be9eff57425b7af991dac8666c7fe	CAMERA DE COMERT SI INDUSTRIE GALATI	CCIA GALATI	RO-camera-de-comert-si-industrie-galati	RO	 1		
05a4788d5cb67e4e819178a4b013e0e8	INAER HELICOPTER PORTUGAL LDA	INAER HELICOPTER PORTUGAL	PT-inaer-helicopter-portugal-lda	PT	 1	 1	128625,00
05c24e174d81186d6da163ee80000f26	ToolPartners AS	TOOL	DK-toolpartners	DK	 1	 1	329087,50
05de33fd52976d28b4d82b78b11b7ff5	TARKI ALAPITVANY	TARKI Foundation	HU-tarki-alapitvany	HU	 1	 1	131656,00
05e8b378285da0ea04168c17920a025b	GFI INFORMATIQUE SA	GFI INFORMATIQUE SA	FR-gfi-informatique-sa	FR	 1	 1	113750,00
05e9aff19f2acdfadee2686ec0b10083	FAGOR AUTOMATION S COOP LTDA	FAGOR AUTO	ES-fagor-automation-s-coop-ltda	ES	 1	 1	692250,00
05f145303b337f8cb6e3112f700ec423	APR SRL	APR SRL	IT-apr	IT	 1	 1	238068,75
06350ff70589e0875ef8dc792ce02895	MANOPT SYSTEMS LIMITED	MANOPT SYSTEMS LTD	IE-manopt-systems	IE	 1	 1	821523,50
064396ec19019d990eb55b4466b65002	BEFESA SALZCHALACKE GMBH	Befesa Salzchalacke	DE-befesa-salzchalacke	DE	 1	 1	350437,50
0657be8b2d791650429060402f956129	MACCABI HEALTHCARE SERVICES	MACCABI	IL-maccabi-healthcare-services	IL	 1	 1	531875,00
06693b323f58ecace868740d0610f8a3	SEVEN SOLUTIONS SL	7S	ES-seven-solutions	ES	 1	 1	50000,00
0675631af34d001de802e5077955231f	THEVA DUENNSCHICHTTECHNIK GMBH	THEVA	DE-theva-duennschichttechnik	DE	 1	 1	1988205,63
