rcn;code;title;shortTitle;language
664589;SC5-13a-2014;Mineral deposits of public importance;;en
664545;MSCA-ITN-2014-ETN;Marie Sk?odowska-Curie Innovative Training Networks (ITN-ETN);;en
664939;NFRP-01-2014;Improved safety design and operation of fission reactors;;en
664940;NFRP-02-2014;Tool for the fast and reliable prediction of severe accident progression and anticipation of the source term of a nuclear accident;;en
664547;MSCA-RISE-2014;Marie Sk?odowska-Curie Research and Innovation Staff Exchange (RISE);;en
665096;FCT-01-2015;Forensics topic 1: Tools and infrastructure for the extraction, fusion, exchange and analysis of big data including cyber-offenses generated data for forensic investigation;;en
665097;FCT-02-2015;Forensic topic 2: Advanced easy to use in-situ forensic tools at the scene of crime;;en
664549;MSCA-NIGHT-2014;European Researchers' Night (NIGHT);;en
20200;H2020-Topics;H2020 Topics;;en
664598;SC5-19b-2015;Mapping Member State research and innovation in climate change, environment, resource efficiency and raw materials;;en
664695;EE-19-2014;Improving the financeability and attractiveness of sustainable energy investments;;en
664694;EE-18-2014;New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use;;en
664597;SC5-19a-2014;Facilitating transnational cooperation between NCPs in Societal Challenge 5;;en
664583;SC5-10a-2014;Enhancing mapping ecosystems and their services;;en
664568;WATER-3-2015;Stepping up EU research and innovation cooperation in the water area;;en
664646;COMPET-01-2014;Technologies for European non-dependence and competitiveness;;en
664686;EE-09-2014;Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures;;en
669176;H2020-EU.3.4.7.1;Exploratory Research;;en
664644;PROTEC-1-2014;Space Weather;;en
665098;FCT-03-2015;Forensics topic 3: Mobile, remotely controlled technologies to examine a crime scene in case of an accident or a terrorist attack involving CBRNE materials;;en
664579;SC5-06-2014;Biodiversity and ecosystem services: drivers of change and causalities;;en
665099;FCT-04-2015;Forensics topic 4: Internet Forensics to combat organized crime;;en
664927;GV-2-2014;Optimised and systematic energy management in electric vehicles;;en
664567;WATER-3-2014;Stepping up EU research and innovation cooperation in the water area;;en
664898;MG-3.4-2014;Traffic safety analysis and integrated approach towards the safety of Vulnerable Road Users;;en
664683;EE-05-2014;Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation;;en
664696;EE-20-2014;Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects;;en
664570;WATER-4b-2015;Water management solutions for agricultural sector, thematic networks;;en
664682;EE-04-2014;Construction skills;;en
664942;NFRP-04-2014;EU concerted development of Member State research on radioactive waste management;;en
664897;MG-3.3-2014;Global competitiveness of automotive supply chain management;;en
664574;SC5-02-2015;ERA for Climate Services;;en
664606;H2020-TWINN-2015;Twinning;;en
665095;DRS-22-2015;Ethical/Societal Dimension topic 3: Impact of climate change in third countries on Europe's security;;en
665100;FCT-05-2014;Law enforcement capabilities topic 1: Develop novel monitoring systems and miniaturised sensors that improve Law Enforcement Agencies' evidence- gathering abilities;;en
664703;EE-10-2015;Consumer engagement for sustainable energy;;en
664905;MG-5.1-2014;Transforming the use of conventionally fuelled vehicles in urban areas;;en
664899;MG-3.5a-2014;Cooperative ITS for safe, congestion-free and sustainable mobility;;en
664702;EE-09-2015;Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures;;en
664604;WIDESPREAD-2-2014;ERA Chairs;;en
664697;EE-21-2014;Development and market roll-out of innovative energy services and financial schemes for sustainable energy;;en
664575;SC5-03a-2014;Economic assessment of climate change ;;en
664649;COMPET-04-2014;Space Robotics Technologies;;en
665102;FCT-07-2014;Law enforcement capabilities topic 3: Pan European platform for serious gaming and training;;en
664900;MG-3.6a-2015;Safe and connected automation in road transport;;en
664653;COMPET-08-2014;Science in context: sample curation facility and scientific exploitation of data from Mars missions;;en
664594;SC5-17-2015;Demonstrating the concept of 'Citizen Observatories';;en
