title;topicRcn;topicCode;legalBasisRcn;legalBasisCode
ERC Proof of Concept Grant;664095;ERC-PoC-2015;664099;H2020-EU.1.1.
JRC direct actions;664537;Euratom-2.;;
Marie Sk?odowska-Curie Innovative Training Networks (ITN-ETN);664545;MSCA-ITN-2014-ETN;664111;H2020-EU.1.3.1.
Marie Sk?odowska-Curie Individual Fellowships (IF-EF);664546;MSCA-IF-2014-EF;664113;H2020-EU.1.3.2.
Marie Sk?odowska-Curie Research and Innovation Staff Exchange (RISE);664547;MSCA-RISE-2014;664115;H2020-EU.1.3.3.
Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-DP);664548;MSCA-COFUND-2014-DP;664117;H2020-EU.1.3.4.
European Researchers' Night (NIGHT);664549;MSCA-NIGHT-2014;664119;H2020-EU.1.3.5.
Trans-national cooperation among Marie Sk?odowska-Curie National Contact Points (NCP);664550;MSCA-NCP-2014;664119;H2020-EU.1.3.5.
Marie Sk?odowska-Curie Innovative Training Networks (ITN);664551;MSCA-ITN-2015;;
Marie Sk?odowska-Curie Individual Fellowships (IF-EF);664552;MSCA-IF-2015-EF;664113;H2020-EU.1.3.2.
Marie Sk?odowska-Curie Research and Innovation Staff Exchange (RISE);664553;MSCA-RISE-2015;664115;H2020-EU.1.3.3.
Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-DP);664554;MSCA-COFUND-2015-DP;664117;H2020-EU.1.3.4.
Moving towards a circular economy through industrial symbiosis;664555;WASTE-1-2014;664417;H2020-EU.3.5.4.
A systems approach for the reduction, recycling and reuse of food waste;664556;WASTE-2-2014;664417;H2020-EU.3.5.4.
Recycling of raw materials from products and buildings;664557;WASTE-3-2014;664417;H2020-EU.3.5.4.
An EU near-zero waste stakeholder platform;664558;WASTE-4a-2014;664417;H2020-EU.3.5.4.
Raw materials partnerships;664559;WASTE-4d-2015;664417;H2020-EU.3.5.4.
Preparing and promoting innovation procurement for resource efficiency;664560;WASTE-5-2014;664417;H2020-EU.3.5.4.
Eco-innovative solutions;664561;WASTE-6a-2015;664417;H2020-EU.3.5.4.
Ensuring sustainable use of agricultural waste, co-products and by-products;664562;WASTE-7-2015;664417;H2020-EU.3.5.4.
First application and market replication;664563;WATER-1a-2014;664417;H2020-EU.3.5.4.
Demonstration/pilot activities;664564;WATER-1b-2015;664417;H2020-EU.3.5.4.
Water cycle under future climate;664565;WATER-2a-2014;664417;H2020-EU.3.5.4.
Integrated approaches to food security, low-carbon energy, sustainable water management and climate change mitigation:;664566;WATER-2b-2015;664417;H2020-EU.3.5.4.
Stepping up EU research and innovation cooperation in the water area;664567;WATER-3-2014;664417;H2020-EU.3.5.4.
Stepping up EU research and innovation cooperation in the water area;664568;WATER-3-2015;664417;H2020-EU.3.5.4.
Dissemination and exploitation, ICT, knowledge, gaps, research needs, etc;664569;WATER-4a-2014;664417;H2020-EU.3.5.4.
Water management solutions for agricultural sector, thematic networks;664570;WATER-4b-2015;664417;H2020-EU.3.5.4.
Strategic cooperation partnerships;664571;WATER-5a-2014;664417;H2020-EU.3.5.4.
A coordination platform;664572;WATER-5b-2015;664417;H2020-EU.3.5.4.
Advanced Earth-system models;664573;SC5-01-2014;664391;H2020-EU.3.5.1.
ERA for Climate Services;664574;SC5-02-2015;664391;H2020-EU.3.5.1.
Economic assessment of climate change;664575;SC5-03a-2014;664391;H2020-EU.3.5.1.
Improving the air quality and reducing the carbon footprint of European cities;664576;SC5-04-2015;664391;H2020-EU.3.5.1.
Climate change mitigation options;664577;SC5-05a-2014;664391;H2020-EU.3.5.1.
Earth-system modelling and climate services;664578;SC5-05b-2015;664391;H2020-EU.3.5.1.
Biodiversity and ecosystem services: drivers of change and causalities;664579;SC5-06-2014;664399;H2020-EU.3.5.2.
More effective ecosystem restoration in the EU;664580;SC5-07-2015;664399;H2020-EU.3.5.2.
Preparing and promoting innovation procurement for soil decontamination;664581;SC5-08-2014;664399;H2020-EU.3.5.2.
Consolidating the European Research Area on biodiversity and ecosystem services;664582;SC5-09-2014;664399;H2020-EU.3.5.2.
Enhancing mapping ecosystems and their services;664583;SC5-10a-2014;664399;H2020-EU.3.5.2.
"An EU support mechanism for evidence-based policy on biodiversity &amp; ecosystems services";664584;SC5-10c-2015;664399;H2020-EU.3.5.2.
Mining of small and complex deposits and alternative mining;664585;SC5-11a-2014;664407;H2020-EU.3.5.3.
Deep mining on continent and/or in sea-bed;664586;SC5-11c-2015;664407;H2020-EU.3.5.3.
Materials for electronic devices;664587;SC5-12a-2014;664407;H2020-EU.3.5.3.
Materials under extreme conditions;664588;SC5-12b-2015;664407;H2020-EU.3.5.3.
Mineral deposits of public importance;664589;SC5-13a-2014;664407;H2020-EU.3.5.3.
Innovation friendly minerals policy framework;664590;SC5-13c-2015;664407;H2020-EU.3.5.3.
Consolidating global knowledge on the green economy in support of sustainable development objectives in Europe and internationally;664591;SC5-14-2014;664417;H2020-EU.3.5.4.
Strengthening the European Research Area in the domain of Earth Observation;664592;SC5-15-2015;664427;H2020-EU.3.5.5.
Making Earth Observation and Monitoring Data usable for ecosystem modelling and services;664593;SC5-16-2014;664427;H2020-EU.3.5.5.
Demonstrating the concept of 'Citizen Observatories';664594;SC5-17-2015;664427;H2020-EU.3.5.5.
Coordinating European Observation Networks to reinforce the knowledge base for climate, natural resources and raw materials;664595;SC5-18a-2014;664427;H2020-EU.3.5.5.
Integrating North African, Middle East and Balkan Earth Observation capacities in GEOSS;664596;SC5-18b-2015;664427;H2020-EU.3.5.5.
Facilitating transnational cooperation between NCPs in Societal Challenge 5;664597;SC5-19a-2014;664389;H2020-EU.3.5.
Mapping Member State research and innovation in climate change, environment, resource efficiency and raw materials;664598;SC5-19b-2015;664389;H2020-EU.3.5.
Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;664599;SC5-20-2014;664389;H2020-EU.3.5.
Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;664600;SC5-20-2015;664389;H2020-EU.3.5.
Capacity-Building in Technology Transfer;664601;CBTT-1-2014;664217;H2020-EU.2.2.
Boosting the Investment-Readiness of SMEs and Small Midcaps;664602;BIR-1-2014;664217;H2020-EU.2.2.
Teaming;664603;WIDESPREAD-1-2014;664483;H2020-EU.4.a.
ERA Chairs;664604;WIDESPREAD-2-2014;664487;H2020-EU.4.c.
Transnational network of national contact points (NCP);664605;WIDESPREAD-3-2014;664493;H2020-EU.4.f.
Twinning;664606;H2020-TWINN-2015;664485;H2020-EU.4.b.
Marie Sk?odowska-Curie Innovative Training Networks (ITN-EID);664607;MSCA-ITN-2014-EID;664111;H2020-EU.1.3.1.
Marie Sk?odowska-Curie Innovative Training Networks (ITN-EJD);664608;MSCA-ITN-2014-EJD;664111;H2020-EU.1.3.1.
Marie Sk?odowska-Curie Individual Fellowships (IF-GF);664609;MSCA-IF-2014-GF;664113;H2020-EU.1.3.2.
Design studies;664610;INFRADEV-1-2014;664125;H2020-EU.1.4.1.1.
Preparatory Phase of ESFRI projects;664611;INFRADEV-2-2015;664125;H2020-EU.1.4.1.1.
Individual implementation and operation of ESFRI projects;664612;INFRADEV-3-2015;664125;H2020-EU.1.4.1.1.
Implementation and operation of cross-cutting services and solutions for clusters of ESFRI and other relevant research infrastructure initiatives;664613;INFRADEV-4-2014-2015;664125;H2020-EU.1.4.1.1.
Implementation and operation of cross-cutting services and solutions for clusters of ESFRI and other relevant research infrastructure initiatives;664614;INFRADEV-4-2015;;
Integrating and opening existing national and regional research infrastructures of European interest;664615;INFRAIA-1-2014-2015;664127;H2020-EU.1.4.1.2.
Integrating and opening existing national and regional research infrastructures of European interest;664616;INFRAIA-1-2015;;
Managing, preserving and computing with big research data;664617;EINFRA-1-2014;664129;H2020-EU.1.4.1.3.
e-Infrastructure for Open Access;664618;EINFRA-2-2014;664129;H2020-EU.1.4.1.3.
Towards global data e-infrastructures � Research Data Alliance;664619;EINFRA-3-2014;664129;H2020-EU.1.4.1.3.
Pan-European High Performance Computing infrastructure and services;664620;EINFRA-4-2014;664129;H2020-EU.1.4.1.3.
Centres of Excellence for computing applications;664621;EINFRA-5-2015;664129;H2020-EU.1.4.1.3.
Network of HPC Competence Centres for SMEs;664622;EINFRA-6-2014;664129;H2020-EU.1.4.1.3.
Provision of core services across e-infrastructures;664623;EINFRA-7-2014;664129;H2020-EU.1.4.1.3.
Research and Education Networking � G�ANT;664624;EINFRA-8-2014;664129;H2020-EU.1.4.1.3.
e-Infrastructures for virtual research environments (VRE);664625;EINFRA-9-2015;664129;H2020-EU.1.4.1.3.
Innovation support measures;664626;INFRASUPP-1-2014;664133;H2020-EU.1.4.2.1.
Innovative procurement pilot action in the field of scientific instrumentation;664627;INFRASUPP-2-2015;664133;H2020-EU.1.4.2.1.
Strengthening the human capital of research infrastructures;664628;INFRASUPP-3-2014;664135;H2020-EU.1.4.2.2.
New professions and skills for e-infrastructures;664629;INFRASUPP-4-2015;664135;H2020-EU.1.4.2.2.
Policy measures for research infrastructures;664630;INFRASUPP-5-2014;664139;H2020-EU.1.4.3.1.
International cooperation for research infrastructures;664631;INFRASUPP-6-2014;664141;H2020-EU.1.4.3.2.
e-Infrastructure policy development and international cooperation;664632;INFRASUPP-7-2014;664137;H2020-EU.1.4.3.
Network of National Contact Points;664633;INFRASUPP-8-2014;664121;H2020-EU.1.4.
EGNSS applications;664634;GALILEO-1-2014;664207;H2020-EU.2.1.6.
EGNSS applications;664635;GALILEO-1-2015;664207;H2020-EU.2.1.6.
Small and Medium Enterprise (SME) based EGNSS applications;664636;GALILEO-2-2014;664207;H2020-EU.2.1.6.
Small and Medium Enterprise (SME) based EGNSS applications;664637;GALILEO-2-2015;664207;H2020-EU.2.1.6.
Releasing the potential of EGNSS applications through international cooperation;664638;GALILEO-3-2014;664207;H2020-EU.2.1.6.
Releasing the potential of EGNSS applications through international cooperation;664639;GALILEO-3-2015;664207;H2020-EU.2.1.6.
EGNSS awareness raising, capacity building and/or promotion activities, inside or outside of the European Union;664640;GALILEO-4-2014;664207;H2020-EU.2.1.6.
New ideas for Earth-relevant space applications;664641;EO-1-2014;664207;H2020-EU.2.1.6.
Climate Change relevant space-based Data reprocessing and calibration;664642;EO-2-2014;664207;H2020-EU.2.1.6.
Observation capacity mapping in the context of Atmospheric and Climate change monitoring;664643;EO-3-2014;664207;H2020-EU.2.1.6.
Space Weather;664644;PROTEC-1-2014;664207;H2020-EU.2.1.6.
Access technologies and characterisation for Near Earth Objects (NEOs);664645;PROTEC-2-2014;664207;H2020-EU.2.1.6.
Technologies for European non-dependence and competitiveness;664646;COMPET-01-2014;664209;H2020-EU.2.1.6.1.
Independent access to space;664647;COMPET-02-2014;664209;H2020-EU.2.1.6.1.
In-Space electrical propulsion and station keeping;664648;COMPET-03-2014;664209;H2020-EU.2.1.6.1.
Space Robotics Technologies;664649;COMPET-04-2014;664209;H2020-EU.2.1.6.1.
