code;title;description;language
MBI;Medizinische Biotechnologie;;de
MBI;Biotecnologia medica;;it
MBI;Biotechnologia medyczna;;pl
MBI;Biotechnologie médicale;;fr
MBI;Medical biotechnology;;en
MBI;Biotecnología médica;;es
FIS;Kernspaltung;;de
FIS;Fissione nucleare;;it
FIS;Rozszczepienie jadra atomowego;;pl
FIS;Fission nucléaire;;fr
FIS;Nuclear Fission;"Reactor operation; decommissioning; reactor physics; pressure vessels; safeguarding techniques; fuel fabrication and reprocessing; irradiation facilities; uranium; plutonium and thorium ores; Transuranic elements/actinides; fissile materials (excluding radioactive waste management).";en
FIS;Fisión nuclear;;es
EAR;Geowissenschaften;;de
EAR;Scienze della Terra;;it
EAR;Nauki o ziemi;Nauki o ziemi;pl
EAR;Sciences de la terre;;fr
EAR;Earth Sciences;"Geology; mineralogy; geography; geophysics; geo-chemistry; soil science; cartography.";en
EAR;Ciencias de la Tierra;;es
ENV;Umweltschutz;;de
ENV;Protezione ambientale;;it
ENV;Ochrona srodowiska;Ochrona środowiska;pl
ENV;Protection de l'environnement;;fr
ENV;Environmental Protection;"Measurement and detection of pollution; effects of pollutants; aerosals and particulate emissions; water quality; acid rain; soil pollution; ecology and radio-ecology; limitation/prevention actions on pollution.";en
ENV;Protección del medio ambiente;;es
SPA;Weltraum- und Satellitenforschung;;de
SPA;Ricerca spaziale e satellitare;;it
SPA;Przestrzeń kosmiczna i badania satelitarne;;pl
SPA;Recherche spatiale et par satellite ;;fr
SPA;Space and satellite research;;en
SPA;Investigación sobre el espacio y satélites;;es
AER;Luft- und Raumfahrttechnik;;de
AER;Tecnologia aerospaziale;;it
AER;Technologia kosmiczna;Technologia kosmiczna;pl
AER;Technologie aérospatiale;;fr
AER;Aerospace Technology;"Aeronauticaltechnology; aircraft; avionics; space exploration and technology.";en
AER;Tecnología aeroespacial;;es
FOR;Prognostik;;de
FOR;Previsioni;;it
FOR;Prognozy;;pl
FOR;Prévisions;;fr
FOR;Forecasting;"Identification of future developments in RTD and long-term strategic options; input to RTD policies; forecasting methodologies.";en
FOR;Previsiones;;es
MAT;Werkstofftechnik;;de
