new_org_id;organisationName;organisationShortName;organizationUrl;REGION_Level_NUTS_3;country;street;city;postCode;provincia
aee4a9c2b74483607ba42a90eb8710aa;'TUDENTSKO DRU'TVO ZA SINOLO'KE ZADEVE YUAN;;http://www.yuan.si;;SI;Aaker eva;LJUBLJANA;;
bacf63dd461c1b2e7d004f20dad90ff3;(DEEP WHITE) UNTERNEHMENS UND WERTEKULTUR GMBH;DEEP;http://www.deep-white.com;;DE;KURT SCHUMACHER STRASSE 2;BONN;;
40bcdb40a2aa9cb1fb9d53de28ba260e;01DB METRAVIB SAS;MVIB;http://www.01db-metravib.com;;FR;Chemin des Ormeaux;LIMONEST;;
763a6fff16f81641786b45300c7ed0dc;1 6 MILJONERKLUBBEN IDEELA FORENINGAR;1.6 MILJONERKLUBBEN;;;SE;GREV TUREGATAN 27;STOCKHOLM;114 38;
827bcb9954d79cc444752b62ae648b08;1 A INGENIEROS S L P;1AI;;;ES;CALLE JUAN MARTINEZ VILLERGAS;VALLADOLID;;
9c0ec0fc7ccb80f32e3bd67ef38353cb;1 TECH;1-TECH;http://www.1-tech.eu;;BE;Rue du Luxembourg 23;Bruxelles;;
487ca9a48bd45d1270288850c48a0e1c;1&1 PULSPACK EK;PULSPACK;http://www.pulspack.de;;DE;POSTSTRASSE 56;VELBERT;;
b3ce2fc3d4fee4f8926f52af6d6758fc;11CITYDESIGN;SOC-DK;;;DK;Nylukkevej 3;Langebaek;;
a71d53f8024a383380f672d3fb599f78;PASTELERIA BIZKARRA SL;BIZKARRA;http://www.bizkarra.com;;ES;CAMINO ARTETA 5;GALDAKAO;;
f1c185a369773e7f070a7638141815e2;1SPATIAL GROUP LIMITED;1SPAT;;;UK;COWLEY ROAD CAMBRIDGE BUSINESS PARK TENNYSON HOUSE;CAMBRIDGE;CB4 0WZ;
094595291e61cd7f929be71f8f56a2fe;1ST YGEIONOMIKI PERIFEREIA DYPE ATTIKIS;YPE/SOT;;;GR;ODOS ZACHAROF;ATHINA;11521;
5d6c427f62382b41603609b7c301f79a;2 GETTHERE BV;2GETTHERE;http://www.2getthere.eu;;NL;PROOSTWETERING 26A;UTRECHT;;
61ed727c3a56e02f5256502bc5929d9b;2 L'EAU PROTECTION SARL;2LP;http://www.2leauprotection.com;;FR;KERONVEL TREGONDERN;SAINT POL DE LEAON;;
10f94ec325c3cbac4d8adda6b812d9a2;2 O LCA CONSULTANTS APS;2.-0 LCA;http://www.lca-net.com;;DK;SKIBBROGADE 5, 1;AALBORG;;
793d185be8d03a1483af4dcfb4005f4e;21 ZAKLADNI SKOLA PLZEN, SLOVANSKA ALEJ 13, PRISPEVKOVA ORGANIZACE;PIL;http://www.21zsplzen.cz;;CZ;SLOVANSKA ALEJ 13;PLZEN;;
aa126dfd08ed6132f48bdcb7528e0633;23EME HOMME SARL;23EM;http://www.23eme-homme.fr;;FR;RUE DE LA ROBERDERIE 2;AZE;;
6f04f81d037c6519e056562042c43d9b;2B CONSULENZA AMBIENTALE DI LEO BREEDVELD;;;;IT;VIA DELLA CHIESA CAMPOCROCE 4/D1;MOGLIANO VENETO;;TV
721c1278fe7a85d09a1ea6b8aafbda0b;2B SRL;;;;IT;Via della Chiesa Campocroce 4;MOGLIANO VENETO;;TV
4d12a225bbe82c02b83cf15e1b1caf6e;2CUREX;;http://www.2curex.com;;DK;Birkevej;BIRKEROED;;
23131e8d30c063d803f365c3066f1406;2H OFFSHORE ENGINEERING LIMITED;2H;http://www.2hoffshore.com;;UK;CHERRY STREET 1-7 WOKING;SURREY;0;
f3bbc052aad14f49e6165dca2f59c222;2M ENGINEERING LIMITED;;http://www.2mel.nl;;UK;SIDNEY STREET;FOLKSTONE;;
b7aaac36d049f1668d2aaa6bc9f3d39c;3 B PHARMACEUTICALS GMBH;3BP;http://www.3b-pharma.com;;DE;MAGNUSSTRASSE 11;BERLIN;;
79cba4aa5b23d18989ad013938844a24;3 C MEMBRANE AG;3CM;;;DE;Am Bahndamm 12;Halberstadt;;
ca04ea12d2a92910e965b81b297dcdc3;360 PRODUCTION LIMITED;360;http://www.360production.com;;UK;NORTHLAND ROAD 10;DERRY;;
7059d14ce76380df8edc3e96980f629e;3A TECHNOLOGY & MANAGEMENT AG;ATM;;;CH;BADISCHE BAHNHOFSTRASSE;NEUHAUSEN AM RHEINFALL;;
1d3f3e2d0e60f6e86967457ca3834ea1;3BRAIN GMBH;3BRAIN;http://www.3brain.com;;CH;SCHULSTRASSE 76;LANDQUART;;
16a053f05cba1d66d7436eaaa889073e;3D AG;3D;http://www.3dag.com;;CH;Laettichstrasse;BAAR;;
daa4bda3b96051b79e580ebf26acd8f5;3D COMMUNICATION SARL;;;;FR;rue Fernand Pelloutier;BOULOGNE BILLANCOURT;;
5550b75ffe2f50c503450a15b23b8d27;3D PLUS SA;3D PLUS;;;FR;RUE HELENE BOUCHER ZI;BUC;;
c20a07c1dd646de0168c949dd453ace2;3D SCANNERS UK LTD;;http://www.3dscanners.co.uk;;UK;The TechnoCentre, Park Puma Way;COVENTRY;;
ea152aa948eaa773df1ccc2999174caa;3D2+;3D2;;;FR;Rue Jean-Jacques ROUSSEAU;Issy les moulineaux;92310;
3c7e68c7559776bfb7f07e08a296da98;3E N V;3E;http://www.3e.eu;;BE;Vaartstraat 61;Brussels;;
32b9f5c37aeb59299ea18462aeebab66;3GSOLAR LTD;ORIONSOLAR;;;IL;Hamarpe AVX Building Har Hotzvim Science Park;JERUSALEM;;
5882338163b7de01e2e0a7cb555f4218;3GSOLAR PHOTOVOLTAICS LTD;3G;;;IL;Hamarpe 3 AVX Building Har Hotzvin Industrial Park;JERUSALEM;;
c07dfd504f410ec0afcd1c86697da47d;3H BIOMEDICAL AB;3H BIOMEDICAL AB;http://www.3hbiomedical.com;;SE;DAG HAMMARSKJOLDS VAG 34A;UPPSALA;;
76cc1f65a4f391a05f64f136aa5d3bf1;3M2P  CONSTRUCAO E REABILITACAO DE EDIFICIOS LDA;3M2P;;;PT;RUA DE JOSE FALCAO;PORTO;;
3f38b3f840c3657c72ca3521a42d85b6;3P BIOPHARMACEUTICALS SL;3P;http://www.3pbio.com;;ES;CALLE MOCHOLI 2 POLIGONO MOCHOLI;NOAIN NAVARRA;;
8a71afe8aff92044082ad9ce97ba2d5c;3R TECHNICS SLOVAKIA SRO;3R;http://www.3rtechnics.com;;SK;MECIKOVA 54 6788;BRATISLAVA;;
6a093fde03ca871963dedc1fb2538772;3S  SENSORS, SIGNAL PROCESSING, SYSTEMS GMBH;3S;http://www.3s-ing.de;;DE;MAINZER STRASSE 148;SAARBRUENCKEN;;
